BTU_count	provisioning	xp_id
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.100
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.10
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.11
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.12
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.13
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.14
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.15
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.16
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.17
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.18
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.19
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.1
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.20
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.21
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.22
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.23
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.24
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.25
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.26
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.27
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.28
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.29
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.2
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.30
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.31
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.32
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.33
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.34
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.35
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.36
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.37
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.38
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.39
35	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.3
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.40
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.41
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.42
33	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.43
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.44
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.45
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.46
34	afap	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.47
