nodes_count	BTU_count	uptime	runtime	usage	makespan	trace_type	provisioning	application	usecase	storage	platform	xp_id
10	35	125499.7133500576	112788.61425638199	0.8987161105442495	13698.355329990387	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.100
10	34	121903.42116069794	113242.53504800797	0.9289528872100082	14046.778626918793	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.10
10	34	121905.20080041885	112819.61831617355	0.9254700995151137	13736.43004488945	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.11
10	35	125502.61486053467	112774.81508874893	0.8985853817792596	13622.733302116394	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.12
10	33	118302.29333019257	112676.16776657104	0.9524428022040241	13973.544287919998	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.13
10	33	118302.96660041809	112830.85644245148	0.9537449455815483	13975.575011014938	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.14
10	35	125494.46142029762	112666.66630387306	0.8977819819994879	13711.893462896347	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.15
10	34	121895.07753944397	112624.57412815094	0.9239468598861739	13655.001924991608	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.16
10	33	118304.81127023697	113041.81985139847	0.9555132934803763	13855.185933113098	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.17
10	35	125503.13193058968	112937.75679087639	0.8998799874837973	14005.030577898026	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.18
10	34	121903.8628206253	113154.3342359066	0.9282259939736844	14073.285456895828	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.19
10	34	121902.07261991501	112722.98438334465	0.9247011306756832	14094.59875202179	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.1
10	35	125503.61101078987	112817.42910289764	0.8989177936338297	13604.085485935211	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.20
10	34	121898.85170054436	112666.46428537369	0.9242619000394616	13982.830486059189	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.21
10	34	121904.31935977936	112893.56076550484	0.9260833525702987	13729.631133079529	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.22
10	35	125505.41151952744	112817.76312112808	0.898907559086205	13564.530625104904	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.23
10	34	121904.83342003822	112770.01812887192	0.9250660122745817	13980.470952033997	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.24
10	34	121898.67248010635	113341.91217207909	0.9298043191616897	13997.37000799179	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.25
10	35	125504.27120018005	113133.62917971611	0.9014325018410513	13724.691545963287	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.26
10	34	121906.3080997467	112728.51471734047	0.9247143685550977	13951.226164102554	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.27
10	33	118296.34898090363	112996.4023463726	0.955197715904262	14147.20056796074	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.28
10	35	125501.73571014404	112849.69039845467	0.8991882842089909	13627.600090026855	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.29
10	35	125497.96615076065	112955.56193685532	0.9000589045495913	13979.640587091446	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.2
10	33	118302.35490036011	113433.36819839478	0.9588428589940899	14100.200483083725	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.30
10	35	125504.27919960022	113257.3227519989	0.902418016933718	14146.162722110748	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.31
10	35	125504.5025010109	113394.99587464333	0.9035133689624399	13696.329327106476	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.32
10	35	125503.32723021507	112930.99834823608	0.8998247364476869	13999.317445993423	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.33
10	34	121906.90844082832	113063.82423591614	0.9274603521817266	13835.294315099716	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.34
10	34	121906.50271987915	113167.51948165894	0.9283140518082047	14152.450923919678	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.35
10	33	118302.15177989006	112777.82037234306	0.953303204342171	13885.761006116867	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.36
10	33	118292.94684028625	112641.2964129448	0.9522232679267677	13945.12052989006	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.37
10	33	118304.29351997375	112827.90358614922	0.9537092883877462	13989.071890115738	real_xp	afap	omssa	brs	regular1gb	openstack-icps	v4.montecarlo-brs-10.brs.afap.regular1gb.openstack-icps.v5.38
