"source" "BTU" "wpo.BTU" "wto.BTU" "wpo.d" "wto.d"
"bonfire-de-hlrs.brt.Asap.10000.json" 15 15 15 0 0
"bonfire-de-hlrs.hrs.Asap.1250.3.json" 18 18 18 0 0
"bonfire-de-hlrs.hrt.Afap.10000.2.json" 1 1 1 0 0
"bonfire-de-hlrs.hrt.Afap.10000.3.json" 1 1 1 0 0
"bonfire-de-hlrs.hrt.Afap.10000.5.json" 1 1 1 0 0
"bonfire-de-hlrs.hrt.Afap.10000.6.json" 1 1 1 0 0
"bonfire-de-hlrs.hrt.Afap.10000.7.json" 1 1 1 0 0
"bonfire-de-hlrs.hrt.Afap.10000.json" 1 1 1 0 0
"bonfire-de-hlrs.hrt.Asap.10000.2.json" 5 5 5 0 0
"bonfire-de-hlrs.hrt.Asap.10000.3.json" 5 5 5 0 0
"bonfire-de-hlrs.hrt.Asap.10000.4.json" 5 5 5 0 0
"bonfire-de-hlrs.hrt.Asap.10000.json" 5 5 5 0 0
"bonfire-de-hlrs.pleiades-1x1.Afap.2.json" 2 2 2 0 0
"bonfire-de-hlrs.pleiades-1x1.Afap.json" 2 2 2 0 0
"bonfire-de-hlrs.pleiades-1x1.Asap.2.json" 6 6 6 0 0
"bonfire-de-hlrs.pleiades-1x1.Asap.3.json" 5 5 5 0 0
"bonfire-de-hlrs.pleiades-1x1.Asap.json" 6 6 6 0 0
"bonfire-de-hlrs.pleiades-2x2.Afap.json" 10 10 10 0 0
"bonfire-fr-inria.hrt.Afap.10000.2.json" 1 1 1 0 0
"bonfire-fr-inria.hrt.Afap.10000.3.json" 1 1 1 0 0
"bonfire-fr-inria.hrt.Afap.10000.4.json" 1 1 1 0 0
"bonfire-fr-inria.hrt.Afap.10000.5.json" 1 1 1 0 0
"bonfire-fr-inria.hrt.Afap.10000.json" 1 1 1 0 0
"bonfire-fr-inria.pleiades-1x1.Afap.2.json" 1 1 1 0 0
"bonfire-fr-inria.pleiades-1x1.Afap.3.json" 1 1 1 0 0
"bonfire-fr-inria.pleiades-1x1.Afap.json" 1 1 1 0 0
"bonfire-fr-inria.pleiades-1x1.Asap.2.json" 8 8 8 0 0
"bonfire-fr-inria.pleiades-1x1.Asap.3.json" 8 8 8 0 0
"bonfire-uk-epcc.brt.Asap.10000.2.json" 15 15 15 0 0
"bonfire-uk-epcc.brt.Asap.10000.3.json" 15 15 15 0 0
"bonfire-uk-epcc.brt.Asap.10000.json" 15 15 15 0 0
"bonfire-uk-epcc.hrs.Afap.1250.3.json" 5 5 5 0 0
"bonfire-uk-epcc.hrs.Afap.1250.json" 5 5 5 0 0
"bonfire-uk-epcc.hrs.Asap.1250.2.json" 19 19 19 0 0
"bonfire-uk-epcc.hrs.Asap.1250.3.json" 22 22 22 0 0
"bonfire-uk-epcc.hrs.Asap.1250.json" 22 22 22 0 0
"bonfire-uk-epcc.hrt.Afap.10000.2.json" 1 1 1 0 0
"bonfire-uk-epcc.hrt.Afap.10000.3.json" 1 1 1 0 0
"bonfire-uk-epcc.hrt.Afap.10000.json" 1 1 1 0 0
"bonfire-uk-epcc.hrt.Asap.10000.2.json" 5 5 5 0 0
"bonfire-uk-epcc.hrt.Asap.10000.3.json" 5 5 5 0 0
"bonfire-uk-epcc.hrt.Asap.10000.json" 5 5 5 0 0
"bonfire-uk-epcc.pleiades-1x1.Afap.2.json" 1 1 1 0 0
"bonfire-uk-epcc.pleiades-1x1.Afap.3.json" 1 1 1 0 0
"bonfire-uk-epcc.pleiades-1x1.Afap.json" 1 1 1 0 0
"bonfire-uk-epcc.pleiades-1x1.Asap.2.json" 9 9 9 0 0
"bonfire-uk-epcc.pleiades-1x1.Asap.3.json" 11 11 11 0 0
"bonfire-uk-epcc.pleiades-3x3.Asap.2.json" 46 46 46 0 0
"bonfire-uk-epcc.pleiades-3x3.Asap.3.json" 46 46 46 0 0
"openstack.brs.Asap.1250.10.json" 50 50 50 0 0
"openstack.brs.Asap.1250.2.json" 50 50 50 0 0
"openstack.brs.Asap.1250.3.json" 50 50 50 0 0
"openstack.brs.Asap.1250.4.json" 50 50 50 0 0
"openstack.brs.Asap.1250.5.json" 50 50 50 0 0
"openstack.brs.Asap.1250.6.json" 50 50 50 0 0
"openstack.brs.Asap.1250.7.json" 50 50 50 0 0
"openstack.brs.Asap.1250.8.json" 50 50 50 0 0
"openstack.brs.Asap.1250.9.json" 50 50 50 0 0
"openstack.brs.Asap.1250.json" 50 50 50 0 0
"openstack.brt.Afap.10000.2.json" 2 2 2 0 0
"openstack.brt.Afap.10000.3.json" 2 2 2 0 0
"openstack.brt.Afap.10000.4.json" 2 2 2 0 0
"openstack.brt.Afap.10000.5.json" 2 2 2 0 0
"openstack.brt.Afap.10000.6.json" 2 2 2 0 0
"openstack.brt.Afap.10000.7.json" 2 2 2 0 0
"openstack.brt.Afap.10000.8.json" 2 2 2 0 0
"openstack.brt.Afap.10000.9.json" 2 2 2 0 0
"openstack.brt.Afap.10000.json" 2 2 2 0 0
"openstack.brt.Asap.10000.10.json" 25 25 25 0 0
"openstack.brt.Asap.10000.2.json" 25 25 25 0 0
"openstack.brt.Asap.10000.3.json" 25 25 25 0 0
"openstack.brt.Asap.10000.4.json" 25 25 25 0 0
"openstack.brt.Asap.10000.5.json" 25 25 25 0 0
"openstack.brt.Asap.10000.6.json" 25 25 25 0 0
"openstack.brt.Asap.10000.7.json" 25 25 25 0 0
"openstack.brt.Asap.10000.8.json" 25 25 25 0 0
"openstack.brt.Asap.10000.9.json" 25 25 25 0 0
"openstack.brt.Asap.10000.json" 25 25 25 0 0
"openstack.hrs.Afap.1250.3.json" 5 5 5 0 0
"openstack.hrs.Afap.1250.5.json" 5 5 5 0 0
"openstack.hrs.Afap.1250.json" 5 5 5 0 0
"openstack.hrs.Asap.1250.10.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.2.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.3.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.4.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.5.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.6.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.7.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.8.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.9.json" 25 25 25 0 0
"openstack.hrs.Asap.1250.json" 25 25 25 0 0
"openstack.hrt.Afap.10000.10.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.2.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.3.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.4.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.5.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.6.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.7.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.8.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.9.json" 1 1 1 0 0
"openstack.hrt.Afap.10000.json" 1 1 1 0 0
"openstack.hrt.Asap.10000.2.json" 11 11 11 0 0
"openstack.hrt.Asap.10000.3.json" 11 11 11 0 0
"openstack.hrt.Asap.10000.4.json" 11 11 11 0 0
"openstack.hrt.Asap.10000.5.json" 11 11 11 0 0
"openstack.hrt.Asap.10000.json" 11 11 11 0 0
"openstack.pleiades-1x1.Afap.2.json" 1 1 1 0 0
"openstack.pleiades-1x1.Afap.json" 1 1 1 0 0
"openstack.pleiades-1x1.Asap.json" 16 16 16 0 0
"openstack.pleiades-2x2.Asap.json" 25 25 25 0 0
"openstack.pleiades-3x3.Asap.json" 50 50 50 0 0
"openstack.pleiades-4x4.Asap.json" 53 53 53 0 0
"openstack.brt.Asap.10000.10.json" 25 25 25 0 0
"bonfire-uk-epcc.pleiades-3x3.Asap.json" 45 44 44 0.0222222222222222 0.0222222222222222
"bonfire-uk-epcc.pleiades-2x2.Asap.2.json" 24 23 21 0.0416666666666667 0.125
"bonfire-de-hlrs.pleiades-3x3.Afap.4.json" 22 21 21 0.0454545454545455 0.0454545454545455
"bonfire-de-hlrs.brs.Asap.1250.2.json" 42 40 41 0.0476190476190476 0.0238095238095238
"bonfire-de-hlrs.brs.Asap.1250.3.json" 42 40 41 0.0476190476190476 0.0238095238095238
"bonfire-de-hlrs.brs.Asap.1250.json" 42 40 41 0.0476190476190476 0.0238095238095238
