"expe"	"efficiency"	"efficiency.wpo"	"efficiency.wto"	"error.wpo"	"error.wto"
"openstack.*hrt.*"	0.18	0.3	0.18	0.67	0
"bonfire-uk.*hrt.*"	0.4	0.3	0.39	0.25	0.03
"bonfire-de.*hrt.*"	0.26	0.32	0.25	0.23	0.04
"bonfire-fr.*hrt.*"	0.17	0.26	0.17	0.53	0
"openstack.*hrs.*"	1.1	0.92	1.1	0.16	0
"bonfire-uk.*hrs.*"	0.86	0.91	0.9	0.06	0.05
"bonfire-de.*hrs.*"	1.07	0.6	1.03	0.44	0.04
"bonfire-fr.*hrs.*"	0.93	0.61	0.87	0.34	0.06
"openstack.*brt.*"	0.53	0.85	0.53	0.6	0
"bonfire-uk.*brt.*"	1.03	0.6	1.1	0.42	0.07
"bonfire-de.*brt.*"	0.76	0.57	0.72	0.25	0.05
"bonfire-fr.*brt.*"	0.96	0.64	0.96	0.33	0
"openstack.*brs.*"	1.51	0.99	1.5	0.34	0.01
"bonfire-uk.*brs.*"	1.28	0.95	1.15	0.26	0.1
"bonfire-de.*brs.*"	1.4	0.98	1.42	0.3	0.01
"openstack.*pleiades-1x1.*"	0.14	0.19	0.14	0.36	0
"bonfire-uk.*pleiades-1x1.*"	0.18	0.19	0.19	0.06	0.06
"bonfire-de.*pleiades-1x1.*"	0.71	0.61	0.67	0.14	0.06
"bonfire-fr.*pleiades-1x1.*"	0.18	0.16	0.17	0.11	0.06
"openstack.*pleiades-2x2.*"	0.39	2.82	0.38	6.23	0.03
"bonfire-uk.*pleiades-2x2.*"	0.55	0.73	0.5	0.33	0.09
"bonfire-de.*pleiades-2x2.*"	0.47	0.83	0.38	0.77	0.19
"bonfire-fr.*pleiades-2x2.*"	0.1	0.26	0.07	1.6	0.3
"openstack.*pleiades-3x3.*"	0.2	1.65	0.23	7.25	0.15
"bonfire-uk.*pleiades-3x3.*"	0.33	1.19	0.38	2.61	0.15
"bonfire-de.*pleiades-3x3.*"	0.49	0.37	0.51	0.24	0.04
"openstack.*pleiades-4x4.*"	0.42	1.21	0.45	1.88	0.07
