"expe"	"ASAP.BTU"	"AFAP.BTU"	"ASAP.makespan"	"AFAP.makespan"	"costup"	"speedup"	"efficiency"
"openstack.*hrt.*"	12.33	1	226.44	500.8	12.33	2.21	0.18
"bonfire-uk.*hrt.*"	5	1	448.33	886	5	1.98	0.4
"bonfire-de.*hrt.*"	5	1	945.5	1238.67	5	1.31	0.26
"bonfire-fr.*hrt.*"	6	1	687.75	702.8	6	1.02	0.17
"openstack.*hrs.*"	25	5	689.8	3781.7	5	5.48	1.1
"bonfire-uk.*hrs.*"	21	5	1702	6178.33	4.2	3.63	0.86
"bonfire-de.*hrs.*"	18	5.67	1460	4971	3.18	3.4	1.07
"bonfire-fr.*hrs.*"	15	5.6	2362.67	5869.4	2.68	2.48	0.93
"openstack.*brt.*"	25	2	522.1	3442.78	12.5	6.59	0.53
"bonfire-uk.*brt.*"	15	3	1121.33	5758.67	5	5.14	1.03
"bonfire-de.*brt.*"	13.5	3	1414.5	4818.67	4.5	3.41	0.76
"bonfire-fr.*brt.*"	10	3	1361	4366	3.33	3.21	0.96
"openstack.*brs.*"	50	57.91	6153.2	8021.55	0.86	1.3	1.51
"bonfire-uk.*brs.*"	68	71.33	12803.67	15598.33	0.95	1.22	1.28
"bonfire-de.*brs.*"	42	53	7876	8746	0.79	1.11	1.4
"openstack.*pleiades-1x1.*"	16	1	877	1927	16	2.2	0.14
"bonfire-uk.*pleiades-1x1.*"	9.33	1	1879	3244.33	9.33	1.73	0.18
"bonfire-de.*pleiades-1x1.*"	5.67	2.33	3238	5558.33	2.43	1.72	0.71
"bonfire-fr.*pleiades-1x1.*"	9.25	1	1773.25	2888	9.25	1.63	0.18
"openstack.*pleiades-2x2.*"	25	7	2648	3697	3.57	1.4	0.39
"bonfire-uk.*pleiades-2x2.*"	25	7.67	5362.83	9586.33	3.26	1.79	0.55
"bonfire-de.*pleiades-2x2.*"	36.67	9	8331	15945	4.07	1.91	0.47
"bonfire-fr.*pleiades-2x2.*"	45.5	7.67	14403	8172	5.93	0.57	0.1
"openstack.*pleiades-3x3.*"	50	9	6478	7234	5.56	1.12	0.2
"bonfire-uk.*pleiades-3x3.*"	45.67	13.75	13547	14861	3.32	1.1	0.33
"bonfire-de.*pleiades-3x3.*"	61.67	26.25	20660.67	23898	2.35	1.16	0.49
"openstack.*pleiades-4x4.*"	53	19	9094	10584	2.79	1.16	0.42
