"expe"	"ASAP.wpo.BTU"	"AFAP.wpo.BTU"	"ASAP.wpo.makespan"	"AFAP.wpo.makespan"	"costup"	"speedup"	"efficiency"
"openstack.*hrt.*"	13.67	1	117.44	484	13.67	4.12	0.3
"bonfire-uk.*hrt.*"	5	1	392	582	5	1.48	0.3
"bonfire-de.*hrt.*"	5	1	389	619	5	1.59	0.32
"bonfire-fr.*hrt.*"	7.25	1	332	633	7.25	1.91	0.26
"openstack.*hrs.*"	25	3.6	559.2	3563.6	6.94	6.37	0.92
"bonfire-uk.*hrs.*"	21	4.33	967.67	4253.67	4.85	4.4	0.91
"bonfire-de.*hrs.*"	19	3.67	1148	3546.33	5.18	3.09	0.6
"bonfire-fr.*hrs.*"	20	3	922.67	3755.8	6.67	4.07	0.61
"openstack.*brt.*"	25	2	334.6	3545.89	12.5	10.6	0.85
"bonfire-uk.*brt.*"	15	2	786	3534	7.5	4.5	0.6
"bonfire-de.*brt.*"	15	2	799	3410.33	7.5	4.27	0.57
"bonfire-fr.*brt.*"	13	2	790	3301	6.5	4.18	0.64
"openstack.*brs.*"	50	34.55	5024.3	7163.36	1.45	1.43	0.99
"bonfire-uk.*brs.*"	40	35	6242	6805	1.14	1.09	0.95
"bonfire-de.*brs.*"	40	34	5837.33	6751	1.18	1.16	0.98
"openstack.*pleiades-1x1.*"	16	1	899	2761.5	16	3.07	0.19
"bonfire-uk.*pleiades-1x1.*"	9	1	1860.67	3240.67	9	1.74	0.19
"bonfire-de.*pleiades-1x1.*"	5.67	2	3183	5513.67	2.83	1.73	0.61
"bonfire-fr.*pleiades-1x1.*"	9.75	1	1789.5	2873	9.75	1.61	0.16
"openstack.*pleiades-2x2.*"	25	11	2844	18218	2.27	6.41	2.82
"bonfire-uk.*pleiades-2x2.*"	22.5	6.67	5348.5	13099.33	3.37	2.45	0.73
"bonfire-de.*pleiades-2x2.*"	25.33	10	8104.33	17002.33	2.53	2.1	0.83
"bonfire-fr.*pleiades-2x2.*"	44	10.33	14809.5	16666	4.26	1.13	0.26
"openstack.*pleiades-3x3.*"	50	36	6479	14865	1.39	2.29	1.65
"bonfire-uk.*pleiades-3x3.*"	45.33	24.5	13209.33	29192.75	1.85	2.21	1.19
"bonfire-de.*pleiades-3x3.*"	62.33	23.75	24257.67	23385.25	2.62	0.96	0.37
"openstack.*pleiades-4x4.*"	53	44	8994	13080	1.2	1.45	1.21
