"expe"	"ASAP.wto.BTU"	"AFAP.wto.BTU"	"ASAP.wto.makespan"	"AFAP.wto.makespan"	"costup"	"speedup"	"efficiency"
"openstack.*hrt.*"	12.33	1	226.89	500.8	12.33	2.21	0.18
"bonfire-uk.*hrt.*"	5	1	429.33	842	5	1.96	0.39
"bonfire-de.*hrt.*"	5	1	941.25	1182.17	5	1.26	0.25
"bonfire-fr.*hrt.*"	6	1	679.5	674.4	6	0.99	0.17
"openstack.*hrs.*"	25	5	709.3	3781.6	5	5.33	1.07
"bonfire-uk.*hrs.*"	21	5	1654.33	5870	4.2	3.55	0.84
"bonfire-de.*hrs.*"	18	5.67	1433	4701.33	3.18	3.28	1.03
"bonfire-fr.*hrs.*"	15.67	5.4	2204	5583.8	2.9	2.53	0.87
"openstack.*brt.*"	25	2	534.6	3442.78	12.5	6.44	0.52
"bonfire-uk.*brt.*"	15	3	1076.33	5470.33	5	5.08	1.02
"bonfire-de.*brt.*"	13.5	3	1392.5	4518.67	4.5	3.25	0.72
"bonfire-fr.*brt.*"	10	3	1305	4156.8	3.33	3.19	0.96
"openstack.*brs.*"	50	58	6410.3	8275.55	0.86	1.29	1.5
"bonfire-uk.*brs.*"	66.33	70.33	12199.67	14841.33	0.94	1.22	1.29
"bonfire-de.*brs.*"	41	52	7386	8209.67	0.79	1.11	1.41
"openstack.*pleiades-1x1.*"	16	1	887	1926.5	16	2.17	0.14
"bonfire-uk.*pleiades-1x1.*"	9.33	1	1928	3240	9.33	1.68	0.18
"bonfire-de.*pleiades-1x1.*"	5.67	2.33	3395.67	5551.33	2.43	1.63	0.67
"bonfire-fr.*pleiades-1x1.*"	9.5	1	1815.5	2883.33	9.5	1.59	0.17
"openstack.*pleiades-2x2.*"	25	7	2794	3696	3.57	1.32	0.37
"bonfire-uk.*pleiades-2x2.*"	23.33	6.67	5521.83	9571	3.5	1.73	0.5
"bonfire-de.*pleiades-2x2.*"	39	10.67	11133.33	17340	3.66	1.56	0.43
"bonfire-fr.*pleiades-2x2.*"	61	8.33	14932.5	8157.67	7.32	0.55	0.07
"openstack.*pleiades-3x3.*"	50	10	6940	7532	5	1.09	0.22
"bonfire-uk.*pleiades-3x3.*"	46	16	13504.67	15783.25	2.88	1.17	0.41
"bonfire-de.*pleiades-3x3.*"	58	24.75	20670.33	24921.75	2.34	1.21	0.51
"openstack.*pleiades-4x4.*"	53	21	9529	10583	2.52	1.11	0.44
