"source" "makespan" "wpo.makespan" "wto.makespan" "wpo.d" "wto.d"
"bonfire-de-hlrs.pleiades-3x3.Afap.4.json" 22628 22646 22568 0.000795474633197808 0.00265158211065936
"bonfire-uk-epcc.pleiades-2x2.Asap.4.json" 5369 5375 5494 0.00111752654125535 0.0232818029428199
"bonfire-uk-epcc.pleiades-1x1.Afap.3.json" 3243 3248 3239 0.00154178230033919 0.00123342584027135
"bonfire-fr-inria.pleiades-1x1.Asap.3.json" 1583 1580 1580 0.00189513581806696 0.00189513581806696
"bonfire-uk-epcc.pleiades-1x1.Afap.2.json" 3067 3073 3063 0.0019563090968373 0.0013042060645582
"bonfire-uk-epcc.pleiades-2x2.Asap.6.json" 5963 5947 5946 0.00268321314774442 0.00285091396947845
"bonfire-uk-epcc.pleiades-2x2.Afap.4.json" 10934 10894 10919 0.00365831351746845 0.00137186756905067
"bonfire-fr-inria.hrs.Afap.1250.5.json" 5305 5327 5044 0.00414703110273327 0.0491988689915174
"bonfire-fr-inria.pleiades-1x1.Afap.2.json" 2847 2835 2842 0.00421496311907271 0.00175623463294696
"bonfire-uk-epcc.pleiades-1x1.Asap.3.json" 1654 1647 1649 0.00423216444981862 0.0030229746070133
"bonfire-fr-inria.pleiades-1x1.Afap.json" 2902 2889 2898 0.00447966919365955 0.00137835975189524
"bonfire-de-hlrs.pleiades-1x1.Afap.json" 5775 5745 5769 0.00519480519480519 0.00103896103896104
"bonfire-uk-epcc.pleiades-3x3.Afap.json" 13962 13885 15576 0.00551496920212004 0.115599484314568
"bonfire-uk-epcc.pleiades-2x2.Afap.2.json" 10036 10092 10019 0.00557991231566361 0.00169390195296931
"bonfire-uk-epcc.pleiades-1x1.Asap.2.json" 2140 2152 2137 0.00560747663551402 0.0014018691588785
"openstack.hrt.Afap.10000.9.json" 489 486 489 0.00613496932515337 0
"bonfire-de-hlrs.pleiades-2x2.Afap.2.json" 16580 16686 16595 0.00639324487334138 0.000904704463208685
"bonfire-uk-epcc.pleiades-1x1.Afap.json" 3423 3401 3418 0.00642711072158925 0.00146070698217937
"openstack.pleiades-3x3.Asap.json" 6478 6522 6940 0.00679221982093239 0.0713183081197901
"bonfire-fr-inria.pleiades-1x1.Afap.3.json" 2915 2895 2910 0.00686106346483705 0.00171526586620926
"bonfire-de-hlrs.pleiades-1x1.Afap.2.json" 5740 5688 5733 0.00905923344947735 0.00121951219512195
"bonfire-fr-inria.pleiades-2x2.Asap.json" 11760 11868 12478 0.00918367346938776 0.0610544217687075
"bonfire-uk-epcc.pleiades-3x3.Asap.3.json" 13432 13308 13387 0.00923168552709946 0.00335020845741513
"bonfire-de-hlrs.pleiades-1x1.Afap.3.json" 5160 5108 5152 0.010077519379845 0.00155038759689922
"bonfire-uk-epcc.pleiades-2x2.Asap.3.json" 5091 5146 5245 0.010803378511098 0.0302494598310744
"openstack.pleiades-4x4.Asap.json" 9094 8994 9529 0.0109962612711678 0.0478337365295799
"openstack.brt.Afap.10000.4.json" 3506 3545 3506 0.011123787792356 0
"bonfire-uk-epcc.pleiades-3x3.Afap.4.json" 13867 13707 16043 0.0115381841782649 0.156919304824403
"openstack.hrt.Afap.10000.6.json" 493 486 493 0.0141987829614604 0
"bonfire-fr-inria.pleiades-1x1.Asap.2.json" 2131 2100 2126 0.014547160957297 0.00234631628343501
"openstack.brt.Afap.10000.9.json" 3498 3549 3498 0.0145797598627787 0
"bonfire-de-hlrs.pleiades-1x1.Asap.3.json" 3547 3495 3540 0.0146602762898224 0.00197349873132224
"bonfire-fr-inria.pleiades-1x1.Asap.4.json" 1751 1723 1746 0.0159908623643632 0.00285551113649343
"openstack.hrt.Afap.10000.8.json" 494 486 494 0.0161943319838057 0
"bonfire-de-hlrs.pleiades-1x1.Asap.2.json" 3229 3175 3222 0.0167234437906473 0.00216785382471353
"bonfire-uk-epcc.pleiades-1x1.Asap.json" 1843 1810 1998 0.0179055887140532 0.0841020075963104
"bonfire-uk-epcc.pleiades-3x3.Asap.2.json" 13329 13084 13283 0.0183809738164904 0.00345112161452472
"bonfire-de-hlrs.pleiades-1x1.Asap.json" 2938 2879 3425 0.0200816882232811 0.165759019741321
"bonfire-de-hlrs.pleiades-2x2.Asap.json" 8837 8622 12828 0.0243295235939799 0.45162385424918
"openstack.pleiades-1x1.Asap.json" 877 899 887 0.0250855188141391 0.0114025085518814
"bonfire-de-hlrs.pleiades-3x3.Afap.2.json" 25722 25075 25663 0.0251535650415986 0.00229375631754918
"bonfire-de-hlrs.pleiades-3x3.Afap.3.json" 25001 24325 29280 0.0270389184432623 0.171153153873845
"bonfire-uk-epcc.pleiades-3x3.Asap.json" 13880 13488 13844 0.0282420749279539 0.00259365994236311
"bonfire-de-hlrs.pleiades-2x2.Asap.2.json" 8156 7925 10441 0.0283227072094164 0.280161844041197
"openstack.hrt.Afap.10000.10.json" 501 486 501 0.029940119760479 0
"bonfire-de-hlrs.pleiades-2x2.Asap.3.json" 8000 7760 10131 0.03 0.266375
"bonfire-de-hlrs.pleiades-3x3.Asap.json" 22182 21491 22329 0.0311513840050491 0.00662699486069786
"bonfire-uk-epcc.pleiades-3x3.Afap.2.json" 14530 14989 14488 0.0315898141775637 0.00289057123193393
"openstack.brt.Afap.10000.json" 3435 3545 3435 0.0320232896652111 0
"openstack.brt.Afap.10000.6.json" 3434 3545 3434 0.0323238206173559 0
"openstack.brt.Afap.10000.2.json" 3433 3545 3433 0.0326245266530731 0
"bonfire-uk-epcc.pleiades-2x2.Asap.json" 5755 5567 6339 0.0326672458731538 0.101476976542137
"bonfire-de-hlrs.pleiades-3x3.Asap.3.json" 17885 17269 17830 0.0344422700587084 0.00307520268381325
"bonfire-de-hlrs.pleiades-3x3.Asap.2.json" 21915 21153 21852 0.0347707049965777 0.00287474332648871
"bonfire-de-hlrs.pleiades-3x3.Afap.json" 22241 21455 22176 0.0353401375837417 0.00292253046175981
"openstack.brt.Afap.10000.5.json" 3423 3545 3423 0.0356412503651767 0
"openstack.brt.Afap.10000.8.json" 3423 3549 3423 0.0368098159509202 0
"openstack.brt.Afap.10000.7.json" 3418 3545 3418 0.0371562317144529 0
"openstack.brs.Afap.1250.5.json" 7791 7497 8060 0.0377358490566038 0.0345270183545116
"openstack.brt.Afap.10000.3.json" 3415 3545 3415 0.0380673499267936 0
"bonfire-fr-inria.pleiades-2x2.Asap.2.json" 17046 17751 17387 0.0413586765223513 0.0200046931831515
"openstack.hrt.Afap.10000.3.json" 503 482 503 0.0417495029821074 0
"openstack.hrt.Afap.10000.4.json" 503 482 503 0.0417495029821074 0
