"expe"	"ASAP.BTU"	"ASAP.makespan"	"ASAP.wpo.BTU"	"ASAP.wpo.makespan"	"ASAP.wto.BTU"	"ASAP.wto.makespan"	"AFAP.BTU"	"AFAP.makespan"	"AFAP.wpo.BTU"	"AFAP.wpo.makespan"	"AFAP.wto.BTU"	"AFAP.wto.makespan"
"openstack.*hrt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-uk.*hrt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-de.*hrt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-fr.*hrt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"openstack.*hrs.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-uk.*hrs.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-de.*hrs.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-fr.*hrs.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"openstack.*brt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-uk.*brt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-de.*brt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-fr.*brt.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"openstack.*brs.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-uk.*brs.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
"bonfire-de.*brs.*"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"	"NaN"
