"source"	"VM"	"BTU"	"makespan"	"wpo VM"	"wpo BTU"	"wpo makespan"	"wto VM"	"wto BTU"	"wto makespan"
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094		
openstack.pleiades-4x4.Asap.json	25	53	9094		
openstack.pleiades-4x4.Asap.json	25	53	9094		
openstack.pleiades-4x4.Asap.json	25	53	9094		
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094		
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
openstack.pleiades-4x4.Asap.json	25	53	9094	28	53	8994	25	53	9344
